Compound ID,ESOL predicted log solubility in mols per litre,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre,smiles,rdkit_smiles,inchi_key,compound_id,VALUE_NUM_mean,VALUE_NUM_std,Perc_Var,Remove_BadDuplicate
2-pyrrolidone,0.243,1,85.10600000000001,1,1,0,29.1,1.07,O=C1CCCN1,O=C1CCCN1,HNJBEVLQSNELDL-UHFFFAOYSA-N,HNJBEVLQSNELDL-UHFFFAOYSA-N,1.07,,0.0,0
2-Chloronapthalene,-4.063,1,162.61899999999997,0,2,0,0.0,-4.14,Clc1ccc2ccccc2c1,Clc1ccc2ccccc2c1,CGYGETOMCSJHJU-UHFFFAOYSA-N,CGYGETOMCSJHJU-UHFFFAOYSA-N,-4.14,,-0.0,0
1-Pentene ,-2.01,1,70.135,0,0,2,0.0,-2.68,CCCC=C,C=CCCC,YWAKXRMUMFPDSH-UHFFFAOYSA-N,YWAKXRMUMFPDSH-UHFFFAOYSA-N,-2.68,,-0.0,0
Primidone,-1.897,1,218.256,2,2,2,58.2,-2.64,CCC1(C(=O)NCNC1=O)c2ccccc2,CCC1(c2ccccc2)C(=O)NCNC1=O,DQMZLTXERSFNPB-UHFFFAOYSA-N,DQMZLTXERSFNPB-UHFFFAOYSA-N,-2.64,,-0.0,0
Tetradecane,-5.45,1,198.39399999999995,0,0,11,0.0,-7.96,CCCCCCCCCCCCCC,CCCCCCCCCCCCCC,BGHCVCJVXZWKCC-UHFFFAOYSA-N,BGHCVCJVXZWKCC-UHFFFAOYSA-N,-7.96,,-0.0,0
2-Chloropropane,-1.585,1,78.542,0,0,0,0.0,-1.41,CC(C)Cl,CC(C)Cl,ULYZAYCEDJDHCC-UHFFFAOYSA-N,ULYZAYCEDJDHCC-UHFFFAOYSA-N,-1.41,,-0.0,0
2-Methylbutanol,-1.027,1,88.14999999999999,1,0,2,20.23,-0.47,CCC(C)CO,CCC(C)CO,QPRQEDXDYOZYLA-UHFFFAOYSA-N,QPRQEDXDYOZYLA-UHFFFAOYSA-N,-0.47,,-0.0,0
Benzonitrile,-2.03,1,103.12399999999997,0,1,0,23.79,-1.0,N#Cc1ccccc1,N#Cc1ccccc1,JFDZBHWFFUWGJE-UHFFFAOYSA-N,JFDZBHWFFUWGJE-UHFFFAOYSA-N,-1.0,,-0.0,0
Diazinon,-3.989,1,304.35200000000003,0,1,7,53.47,-3.64,CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,FHIVAFMUCKRCQO-UHFFFAOYSA-N,FHIVAFMUCKRCQO-UHFFFAOYSA-N,-3.64,,-0.0,0
2-Undecanol,-3.096,1,172.312,1,0,8,20.23,-2.94,CCCCCCCCCC(C)O,CCCCCCCCCC(C)O,XMUJIPOFTAHSOK-UHFFFAOYSA-N,XMUJIPOFTAHSOK-UHFFFAOYSA-N,-2.94,,-0.0,0
"2,2',3,4,6-PCB",-6.627000000000001,1,326.437,0,2,1,0.0,-7.43,Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl ,Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1,CXKIGWXPPVZSQK-UHFFFAOYSA-N,CXKIGWXPPVZSQK-UHFFFAOYSA-N,-7.43,,-0.0,0
Lenacil,-3.355,1,234.29899999999995,1,3,1,54.86,-4.593999999999999,O=c2[nH]c1CCCc1c(=O)n2C3CCCCC3,O=c1[nH]c2c(c(=O)n1C1CCCCC1)CCC2,ZTMKADLOSYKWCA-UHFFFAOYSA-N,ZTMKADLOSYKWCA-UHFFFAOYSA-N,-4.593999999999999,,-0.0,0
Phorate,-3.747,1,260.386,0,0,8,18.46,-4.11,CCOP(=S)(OCC)SCSCC,CCOP(=S)(OCC)SCSCC,BULVZWIRKLYCBC-UHFFFAOYSA-N,BULVZWIRKLYCBC-UHFFFAOYSA-N,-4.11,,-0.0,0
Phenacetin,-2.342,1,179.219,1,1,3,38.33,-2.35,CCOc1ccc(NC(=O)C)cc1,CCOc1ccc(NC(C)=O)cc1,CPJSUEIXXCENMM-UHFFFAOYSA-N,CPJSUEIXXCENMM-UHFFFAOYSA-N,-2.35,,-0.0,0
Dinitramine,-4.479,1,322.243,1,1,5,115.54000000000002,-5.47,CCN(CC)c1c(cc(c(N)c1N(=O)=O)C(F)(F)F)N(=O)=O,CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],OFDYMSKSGFSLLM-UHFFFAOYSA-N,OFDYMSKSGFSLLM-UHFFFAOYSA-N,-5.47,,-0.0,0
1-Heptanol,-1.751,1,116.204,1,0,5,20.23,-1.81,CCCCCCCO,CCCCCCCO,BBMCTIGTTCKYKF-UHFFFAOYSA-N,BBMCTIGTTCKYKF-UHFFFAOYSA-N,-1.81,,-0.0,0
Theophylline,-1.452,1,180.167,1,2,0,72.68,-1.39,Cn1c(=O)n(C)c2nc[nH]c2c1=O,Cn1c(=O)c2[nH]cnc2n(C)c1=O,ZFXYFBGIUFBOJW-UHFFFAOYSA-N,ZFXYFBGIUFBOJW-UHFFFAOYSA-N,-1.39,,-0.0,0
Butethal,-1.974,1,212.249,2,1,4,75.27000000000001,-1.661,CCCCC1(CC)C(=O)NC(=O)NC1=O,CCCCC1(CC)C(=O)NC(=O)NC1=O,STDBAQMTJLUMFW-UHFFFAOYSA-N,STDBAQMTJLUMFW-UHFFFAOYSA-N,-1.661,,-0.0,0
"P,P'-DDE",-6.553,1,318.0300000000001,0,2,2,0.0,-6.9,ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,UCNVFOCBFJOQAL-UHFFFAOYSA-N,UCNVFOCBFJOQAL-UHFFFAOYSA-N,-6.9,,-0.0,0
Methyl octanoate,-2.608,1,158.241,0,0,6,26.3,-3.17,CCCCCCCC(=O)OC,CCCCCCCC(=O)OC,JGHZJRVDZXSNKQ-UHFFFAOYSA-N,JGHZJRVDZXSNKQ-UHFFFAOYSA-N,-3.17,,-0.0,0
"1,4-Diethylbenzene ",-3.633,1,134.22199999999998,0,1,2,0.0,-3.75,CCc1ccc(CC)cc1,CCc1ccc(CC)cc1,DSNHSQKRULAAEI-UHFFFAOYSA-N,DSNHSQKRULAAEI-UHFFFAOYSA-N,-3.75,,-0.0,0
Terbufos,-4.367,1,288.44,0,0,7,18.46,-4.755,CCOP(=S)(OCC)SCSC(C)(C)C,CCOP(=S)(OCC)SCSC(C)(C)C,XLNZEKHULJKQBA-UHFFFAOYSA-N,XLNZEKHULJKQBA-UHFFFAOYSA-N,-4.755,,-0.0,0
Phenmedipham,-4.229,1,300.314,2,2,3,76.66,-4.805,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,IDOWTHOLJBTAFI-UHFFFAOYSA-N,IDOWTHOLJBTAFI-UHFFFAOYSA-N,-4.805,,-0.0,0
"1,1-Dichloroethylene",-1.939,1,96.944,0,0,0,0.0,-1.64,ClC(=C)Cl,C=C(Cl)Cl,LGXVIGDEPROXKC-UHFFFAOYSA-N,LGXVIGDEPROXKC-UHFFFAOYSA-N,-1.64,,-0.0,0
1-Methylfluorene,-4.478,1,180.25000000000003,0,3,0,0.0,-5.22,Cc1cccc2c1Cc3ccccc32,Cc1cccc2c1Cc1ccccc1-2,GKEUODMJRFDLJY-UHFFFAOYSA-N,GKEUODMJRFDLJY-UHFFFAOYSA-N,-5.22,,-0.0,0
Valeraldehyde,-1.103,1,86.13399999999999,0,0,3,17.07,-0.85,CCCCC=O,CCCCC=O,HGBOYTHUEUWSSQ-UHFFFAOYSA-N,HGBOYTHUEUWSSQ-UHFFFAOYSA-N,-0.85,,-0.0,0
Diphenylamine,-3.857,2,169.227,1,2,2,12.03,-3.504,N(c1ccccc1)c2ccccc2,c1ccc(Nc2ccccc2)cc1,DMBHHRLKUKUOEG-UHFFFAOYSA-N,DMBHHRLKUKUOEG-UHFFFAOYSA-N,-3.504,,-0.0,0
Fenothiocarb,-3.297,1,253.367,0,1,6,29.540000000000003,-3.927,CN(C)C(=O)SCCCCOc1ccccc1,CN(C)C(=O)SCCCCOc1ccccc1,HMIBKHHNXANVHR-UHFFFAOYSA-N,HMIBKHHNXANVHR-UHFFFAOYSA-N,-3.927,,-0.0,0
Piperophos,-4.637,1,353.4900000000001,0,1,9,38.77,-4.15,CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,UNLYSVIDNRIVFJ-UHFFFAOYSA-N,UNLYSVIDNRIVFJ-UHFFFAOYSA-N,-4.15,,-0.0,0
1-Iodoheptane,-3.904,1,226.101,0,0,5,0.0,-4.81,CCCCCCCI,CCCCCCCI,LMHCYRULPLGEEZ-UHFFFAOYSA-N,LMHCYRULPLGEEZ-UHFFFAOYSA-N,-4.81,,-0.0,0
3-Chlorobiphenyl,-4.685,1,188.657,0,2,1,0.0,-4.88,c1c(Cl)cccc1c2ccccc2,Clc1cccc(-c2ccccc2)c1,NMWSKOLWZZWHPL-UHFFFAOYSA-N,NMWSKOLWZZWHPL-UHFFFAOYSA-N,-4.88,,-0.0,0
4-Pentene-1-ol,-0.7909999999999999,1,86.134,1,0,3,20.23,-0.15,OCCCC=C,C=CCCCO,LQAVWYMTUMSFBE-UHFFFAOYSA-N,LQAVWYMTUMSFBE-UHFFFAOYSA-N,-0.15,,-0.0,0
Cyclobutyl-5-spirobarbituric acid,-0.527,1,168.15200000000002,2,2,0,75.27,-1.655,O=C2NC(=O)C1(CCC1)C(=O)N2,O=C1NC(=O)C2(CCC2)C(=O)N1,VQDXQNNYGSEHPU-UHFFFAOYSA-N,VQDXQNNYGSEHPU-UHFFFAOYSA-N,-1.655,,-0.0,0
menthol,-2.782,1,156.269,1,1,1,20.23,-2.53,CC(C)C1CCC(C)CC1O ,CC1CCC(C(C)C)C(O)C1,NOOLISFMXDJSKH-UHFFFAOYSA-N,NOOLISFMXDJSKH-UHFFFAOYSA-N,-2.53,,-0.0,0
Isopropyl formate,-0.684,1,88.106,0,0,2,26.3,-0.63,CC(C)OC=O,CC(C)OC=O,RMOUBSOVHSONPZ-UHFFFAOYSA-N,RMOUBSOVHSONPZ-UHFFFAOYSA-N,-0.63,,-0.0,0
2-Heptanol ,-1.6780000000000002,1,116.20399999999998,1,0,4,20.23,-1.55,CCCCCC(C)O,CCCCCC(C)O,CETWDUZRCINIHU-UHFFFAOYSA-N,CETWDUZRCINIHU-UHFFFAOYSA-N,-1.55,,-0.0,0
p-Bromoacetanilide,-3.012,1,214.062,1,1,1,29.1,-3.083,CC(=O)Nc1ccc(Br)cc1,CC(=O)Nc1ccc(Br)cc1,MSLICLMCQYQNPK-UHFFFAOYSA-N,MSLICLMCQYQNPK-UHFFFAOYSA-N,-3.083,,-0.0,0
brompyrazone,-3.005,1,266.098,1,2,1,60.91,-3.127,c1ccccc1n2ncc(N)c(Br)c2(=O),Nc1cnn(-c2ccccc2)c(=O)c1Br,ODNZLRLWXRXPOH-UHFFFAOYSA-N,ODNZLRLWXRXPOH-UHFFFAOYSA-N,-3.127,,-0.0,0
nifedipine,-4.248,1,346.33900000000017,1,2,4,107.77,-4.76,COC(=O)C1=C(C)NC(=C(C1c2ccccc2N(=O)=O)C(=O)OC)C ,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],HYIMSNHJOBLJNT-UHFFFAOYSA-N,HYIMSNHJOBLJNT-UHFFFAOYSA-N,-4.76,,-0.0,0
"2,7-dimethylquinoline",-3.342,1,157.216,0,2,0,12.89,-1.94,c2c(C)cc1nc(C)ccc1c2 ,Cc1ccc2ccc(C)nc2c1,QXKPLNCZSFACPU-UHFFFAOYSA-N,QXKPLNCZSFACPU-UHFFFAOYSA-N,-1.94,,-0.0,0
1-Octyne ,-2.509,1,110.2,0,0,4,0.0,-3.66,CCCCCCC#C,C#CCCCCCC,UMIPWJGWASORKV-UHFFFAOYSA-N,UMIPWJGWASORKV-UHFFFAOYSA-N,-3.66,,-0.0,0
cyclobarbital,-2.421,1,236.27099999999996,2,2,2,75.27000000000001,-2.17,CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2 ,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,WTYGAUXICFETTC-UHFFFAOYSA-N,WTYGAUXICFETTC-UHFFFAOYSA-N,-2.17,,-0.0,0
Chrysene,-5.568,2,228.294,0,4,0,0.0,-8.057,c1ccc2c(c1)ccc3c4ccccc4ccc23,c1ccc2c(c1)ccc1c3ccccc3ccc21,WDECIBYCCFPHNR-UHFFFAOYSA-N,WDECIBYCCFPHNR-UHFFFAOYSA-N,-8.057,,-0.0,0
Bromacil,-3.419,1,261.119,1,1,2,54.86,-2.523,CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O ,CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O,CTSLUCNDVMMDHG-UHFFFAOYSA-N,CTSLUCNDVMMDHG-UHFFFAOYSA-N,-2.523,,-0.0,0
"2,2',3,3',5,6-PCB",-7.185,1,360.88200000000006,0,2,1,0.0,-8.6,Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,Clc1cccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,RVWLHPJFOKUPNM-UHFFFAOYSA-N,RVWLHPJFOKUPNM-UHFFFAOYSA-N,-8.6,,-0.0,0
2-Methylphenol,-2.281,1,108.14,1,1,0,20.23,-0.62,Cc1ccccc1O,Cc1ccccc1O,QWVGKYWNOKOFNN-UHFFFAOYSA-N,QWVGKYWNOKOFNN-UHFFFAOYSA-N,-0.62,,-0.0,0
"2,2,5-Trimethylhexane",-3.631,1,128.259,0,0,2,0.0,-5.05,CC(C)CCC(C)(C)C,CC(C)CCC(C)(C)C,HHOSMYBYIHNXNO-UHFFFAOYSA-N,HHOSMYBYIHNXNO-UHFFFAOYSA-N,-5.05,,-0.0,0
"1,4-Dimethylnaphthalene ",-4.147,1,156.228,0,2,0,0.0,-4.14,Cc1ccc(C)c2ccccc12,Cc1ccc(C)c2ccccc12,APQSQLNWAIULLK-UHFFFAOYSA-N,APQSQLNWAIULLK-UHFFFAOYSA-N,-4.14,,-0.0,0
6-Methylchrysene,-5.931,1,242.321,0,4,0,0.0,-6.57,Cc1cc2c3ccccc3ccc2c4ccccc14,Cc1cc2c3ccccc3ccc2c2ccccc12,ASVDRLYVNFOSCI-UHFFFAOYSA-N,ASVDRLYVNFOSCI-UHFFFAOYSA-N,-6.57,,-0.0,0
2-Pentanone,-0.846,1,86.13399999999999,0,0,2,17.07,-0.19,CCCC(=O)C,CCCC(C)=O,XNLICIUVMPYHGG-UHFFFAOYSA-N,XNLICIUVMPYHGG-UHFFFAOYSA-N,-0.19,,-0.0,0
"2,2',3,3',5,5',6,6'-PCB",-8.304,1,429.77200000000016,0,2,1,0.0,-9.15,Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,JPOPEORRMSDUIP-UHFFFAOYSA-N,JPOPEORRMSDUIP-UHFFFAOYSA-N,-9.15,,-0.0,0
Methyl butyrate,-1.545,1,116.15999999999998,0,0,3,26.3,-0.82,CCCOC(=O)CC,CCCOC(=O)CC,MCSINKKTEDDPNK-UHFFFAOYSA-N,MCSINKKTEDDPNK-UHFFFAOYSA-N,-0.82,,-0.0,0
Triamcinolone,-2.734,1,394.43900000000014,4,4,2,115.06000000000002,-3.68,CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC(O)C4(O)C(=O)CO,CC12C=CC(=O)C=C1CCC1C3CC(O)C(O)(C(=O)CO)C3(C)CC(O)C12F,GFNANZIMVAIWHM-UHFFFAOYSA-N,GFNANZIMVAIWHM-UHFFFAOYSA-N,-3.68,,-0.0,0
p-Aminophenol,-1.231,1,109.128,2,1,0,46.25,-0.8,Nc1ccc(O)cc1,Nc1ccc(O)cc1,PLIKAWJENQZMHA-UHFFFAOYSA-N,PLIKAWJENQZMHA-UHFFFAOYSA-N,-0.8,,-0.0,0
Benznidazole,-2.321,1,260.253,1,2,5,90.06,-2.81,O=C(Cn1ccnc1N(=O)=O)NCc2ccccc2,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,CULUWZNBISUWAS-UHFFFAOYSA-N,CULUWZNBISUWAS-UHFFFAOYSA-N,-2.81,,-0.0,0
"Atovaquone(0,430mg/ml) - neutral",-6.269,1,366.84400000000016,1,4,2,54.37,-5.931,OC4=C(C1CCC(CC1)c2ccc(Cl)cc2)C(=O)c3ccccc3C4=O,O=C1C(O)=C(C2CCC(c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,KUCQYCKVKVOKAY-UHFFFAOYSA-N,KUCQYCKVKVOKAY-UHFFFAOYSA-N,-5.931,,-0.0,0
Trietazine,-3.233,1,229.715,1,1,5,53.940000000000005,-4.06,CCNc1nc(Cl)nc(n1)N(CC)CC,CCNc1nc(Cl)nc(N(CC)CC)n1,HFBWPRKWDIRYNX-UHFFFAOYSA-N,HFBWPRKWDIRYNX-UHFFFAOYSA-N,-4.06,,-0.0,0
Pyrazinamide,-0.674,1,123.11499999999998,1,1,1,68.87,-0.667,NC(=O)c1cnccn1,NC(=O)c1cnccn1,IPEHBUMCGVEMRF-UHFFFAOYSA-N,IPEHBUMCGVEMRF-UHFFFAOYSA-N,-0.667,,-0.0,0
Carbromal,-2.198,1,237.097,2,0,3,72.19,-2.68,CCC(Br)(CC)C(=O)NC(N)=O,CCC(Br)(CC)C(=O)NC(N)=O,OPNPQXLQERQBBV-UHFFFAOYSA-N,OPNPQXLQERQBBV-UHFFFAOYSA-N,-2.68,,-0.0,0
"2,2'-PCB",-4.984,1,223.102,0,2,1,0.0,-5.27,Clc1ccccc1c2ccccc2Cl ,Clc1ccccc1-c1ccccc1Cl,JAYCNKDKIKZTAF-UHFFFAOYSA-N,JAYCNKDKIKZTAF-UHFFFAOYSA-N,-5.27,,-0.0,0
nitrofurantoin,-1.243,1,238.159,1,2,3,118.04999999999998,-3.38,O=C2CN(N=Cc1ccc(o1)N(=O)=O)C(=O)N2 ,O=C1CN(N=Cc2ccc([N+](=O)[O-])o2)C(=O)N1,NXFQHRVNIOXGAQ-UHFFFAOYSA-N,NXFQHRVNIOXGAQ-UHFFFAOYSA-N,-3.38,,-0.0,0
Nitrofen,-5.361000000000001,1,284.098,0,2,3,52.37,-5.46,Clc2ccc(Oc1ccc(cc1)N(=O)=O)c(Cl)c2,O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1,XITQUSLLOSKDTB-UHFFFAOYSA-N,XITQUSLLOSKDTB-UHFFFAOYSA-N,-5.46,,-0.0,0
Camphor,-2.158,1,152.237,0,2,0,17.07,-1.96,CC1(C)C2CCC1(C)C(=O)C2,CC12CCC(CC1=O)C2(C)C,DSSYKIVIOFKYAU-UHFFFAOYSA-N,DSSYKIVIOFKYAU-UHFFFAOYSA-N,-1.96,,-0.0,0
5-Allyl-5-phenylbarbital,-2.36,1,244.25,2,2,3,75.27000000000001,-2.369,O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1,C=CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,WOIGZSBYKGQJGL-UHFFFAOYSA-N,WOIGZSBYKGQJGL-UHFFFAOYSA-N,-2.369,,-0.0,0
Pentyl propanoate,-1.899,1,130.18699999999998,0,0,4,26.3,-2.25,CCCCC(=O)OCC,CCCCC(=O)OCC,ICMAFTSLXCXHRK-UHFFFAOYSA-N,ICMAFTSLXCXHRK-UHFFFAOYSA-N,-2.25,,-0.0,0
Isopentyl acetate,-1.817,1,130.18699999999998,0,0,3,26.3,-1.92,CC(C)CCOC(=O)C,CC(=O)OCCC(C)C,MLFHJEHSLIIPHL-UHFFFAOYSA-N,MLFHJEHSLIIPHL-UHFFFAOYSA-N,-1.92,,-0.0,0
3-Hexanoyloxymethylphenyltoin,-4.1530000000000005,1,380.444,1,3,8,75.71,-5.886,O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,CCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,OLWXRKNZPGNRLT-UHFFFAOYSA-N,OLWXRKNZPGNRLT-UHFFFAOYSA-N,-5.886,,-0.0,0
"2,3',5-PCB",-5.7620000000000005,1,257.547,0,2,1,0.0,-6.01,Clc1cccc(c1)c2cc(Cl)ccc2Cl ,Clc1cccc(-c2cc(Cl)ccc2Cl)c1,ONNCPBRWFSKDMQ-UHFFFAOYSA-N,ONNCPBRWFSKDMQ-UHFFFAOYSA-N,-6.01,,-0.0,0
1-Bromopropane,-1.949,1,122.993,0,0,1,0.0,-1.73,CCCBr,CCCBr,CYNYIHKIEHGYOZ-UHFFFAOYSA-N,CYNYIHKIEHGYOZ-UHFFFAOYSA-N,-1.73,,-0.0,0
Propiconazole,-4.603,1,342.2260000000001,0,3,5,49.17,-3.4930000000000003,CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,STJLVHWMYQXCPB-UHFFFAOYSA-N,STJLVHWMYQXCPB-UHFFFAOYSA-N,-3.4930000000000003,,-0.0,0
Formothion,-2.087,1,257.273,0,0,6,55.84,-1.995,COP(=S)(OC)SCC(=O)N(C)C=O,COP(=S)(OC)SCC(=O)N(C)C=O,AIKKULXCBHRFOS-UHFFFAOYSA-N,AIKKULXCBHRFOS-UHFFFAOYSA-N,-1.995,,-0.0,0
4-methylpteridine,-1.24,1,146.15299999999996,0,2,0,51.56,-0.466,Cc1ncnc2nccnc12,Cc1ncnc2nccnc12,WESDBLALURHRDL-UHFFFAOYSA-N,WESDBLALURHRDL-UHFFFAOYSA-N,-0.466,,-0.0,0
Thiourea,0.3289999999999999,1,76.12400000000001,2,0,0,52.04,0.32,NC(=S)N,NC(N)=S,UMGDCJDMYOKAJW-UHFFFAOYSA-N,UMGDCJDMYOKAJW-UHFFFAOYSA-N,0.32,,0.0,0
p-Xylene ,-3.035,1,106.168,0,1,0,0.0,-2.77,Cc1ccc(C)cc1,Cc1ccc(C)cc1,URLKBWYHVLBVBO-UHFFFAOYSA-N,URLKBWYHVLBVBO-UHFFFAOYSA-N,-2.77,,-0.0,0
"1,2-Diethylbenzene",-3.6010000000000004,1,134.22199999999998,0,1,2,0.0,-3.28,CCc1ccccc1CC,CCc1ccccc1CC,KVNYFPKFSJIPBJ-UHFFFAOYSA-N,KVNYFPKFSJIPBJ-UHFFFAOYSA-N,-3.28,,-0.0,0
Hexachloroethane,-4.215,1,236.74,0,0,0,0.0,-3.67,ClC(Cl)(Cl)C(Cl)(Cl)Cl,ClC(Cl)(Cl)C(Cl)(Cl)Cl,VHHHONWQHHHLTI-UHFFFAOYSA-N,VHHHONWQHHHLTI-UHFFFAOYSA-N,-3.67,,-0.0,0
Flucythrinate,-6.877999999999999,1,451.4690000000001,0,3,9,68.55000000000001,-6.876,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(OC(F)F)cc3,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(OC(F)F)cc1,GBIHOLCMZGAKNG-UHFFFAOYSA-N,GBIHOLCMZGAKNG-UHFFFAOYSA-N,-6.876,,-0.0,0
1-Nitropropane,-0.816,1,89.09399999999998,0,0,2,43.14,-0.8,CCCN(=O)=O,CCC[N+](=O)[O-],JSZOAYXJRCEYSX-UHFFFAOYSA-N,JSZOAYXJRCEYSX-UHFFFAOYSA-N,-0.8,,-0.0,0
